
[2026-02-19T04:08:13.343Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T13:42:44.448Z] PUT /1155 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T14:53:59.595Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T14:54:27.546Z] PUT /1164 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T14:54:52.635Z] PUT /1163 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:20:45.413Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:21:49.184Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:21:54.917Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:22:04.328Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:22:14.436Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
[2026-02-19T16:22:19.575Z] PUT /1165 RECEIVED. Payload keys: id, cliente, partida_inmobiliaria, objeto, fecha_relevamiento, fecha_presentacion_municipalidad, expte_muni, certificado_catastral, informe_dominial, fecha_ingreso_dominio, fecha_egreso_dominio, titular, responsable, fecha_presupuesto, falta_relevar, importe_presupuesto, entrega, fecha_libre_deuda, aprobacion_muni, disposicion_n, presentacion_dgc, expediente_n, previa_dgc, definitiva_dgc, visado_dgc, plano_registrado, correccion, campo1, terminado, cliente_id, notas, materiales, fecha_apertura, pdf_catastro_file, cert_catastral_file, notas_relevamiento, terreno_id, mojones, fecha_mojones, terreno_direccion, terreno_depto, terreno_municipio, terreno_seccion, terreno_chacra, terreno_manzana, terreno_parcela, terreno_lote, cliente_nombre, cliente_dni, cliente_telefono, cliente_direccion, direccion, depto, municipio, seccion, chacra, manzana, parcela, lote, numero, terreno_detalle, firmante_detalle, presupuesto_detalle, estado, ultimaActualizacion, terreno, ubicacion, coords, etapa, avance, fechas, pdf_catastro, pdf_ploteo, cert_catastral, tipo_firmante, checklist_firmante, doc_firmante, cotizacion, historial
